Layer,Avg,Max,Min,"90th percentile of Count"
POI,"8165.984399375975",211099,86,"19475.14166666667"
ADMIN,"3178.6064814814813",32768,100,"8248.800000000005"
STREET,"2233.711656441718",48979,0,"5039.000000000001"
