Layer,Layer Size,Space Code,Search Space Code,Base 17Q1 Total Sizes,Base 17Q1 Total Docs,Base 17Q1 Size/Doc,
Address,3317.809M,MEX_BN,STREET.MEX_BN,8.068M,42532,198B,

Address,3317.809M,MEX_BN,DOOR.MEX_BN,8.239M,42634,202B,

Address,3317.809M,MEX_TB,STREET.MEX_TB,1.959M,13867,148B,

Address,3317.809M,MEX_TB,DOOR.MEX_TB,1.241M,13880,93B,

Address,3317.809M,NA_CYM,STREET.NA_CYM,0M,13880,93B,

Address,3317.809M,NA_CYM,DOOR.NA_CYM,0M,13880,93B,

Address,3317.809M,MEX_SI,STREET.MEX_SI,4.729M,27966,177B,

Address,3317.809M,MEX_SI,DOOR.MEX_SI,4.322M,28005,161B,

Address,3317.809M,USA_AZ,STREET.USA_AZ,23.675M,138201,179B,

Address,3317.809M,USA_AZ,DOOR.USA_AZ,27.526M,138511,208B,

Address,3317.809M,MEX_SL,STREET.MEX_SL,4.926M,33394,154B,

Address,3317.809M,MEX_SL,DOOR.MEX_SL,4.182M,33454,131B,

Address,3317.809M,MEX_SO,STREET.MEX_SO,5.104M,32819,163B,

Address,3317.809M,MEX_SO,DOOR.MEX_SO,4.176M,32844,133B,

Address,3317.809M,USA_AS,STREET.USA_AS,0M,32844,133B,

Address,3317.809M,USA_AS,DOOR.USA_AS,0M,32844,133B,

Address,3317.809M,NA_VIR,STREET.NA_VIR,0.211M,1543,143B,

Address,3317.809M,NA_VIR,DOOR.NA_VIR,0.088M,1543,60B,

Address,3317.809M,MEX_CP,STREET.MEX_CP,4.529M,33330,142B,

Address,3317.809M,MEX_CP,DOOR.MEX_CP,2.646M,33367,83B,

Address,3317.809M,USA_AR,STREET.USA_AR,23.652M,151218,164B,

Address,3317.809M,USA_AR,DOOR.USA_AR,25.231M,151472,174B,

Address,3317.809M,USA_SC,STREET.USA_SC,24.957M,172844,151B,

Address,3317.809M,USA_SC,DOOR.USA_SC,27.836M,173119,168B,

Address,3317.809M,USA_SD,STREET.USA_SD,8.947M,42737,219B,

Address,3317.809M,USA_SD,DOOR.USA_SD,6.267M,42838,153B,

Address,3317.809M,MEX_CM,STREET.MEX_CM,1.188M,9042,137B,

Address,3317.809M,MEX_CM,DOOR.MEX_CM,0.861M,9045,99B,

Address,3317.809M,MEX_CL,STREET.MEX_CL,1.713M,11760,152B,

Address,3317.809M,MEX_CL,DOOR.MEX_CL,1.53M,11794,136B,

Address,3317.809M,USA_AK,STREET.USA_AK,5.414M,26371,215B,

Address,3317.809M,USA_AK,DOOR.USA_AK,4.181M,26412,165B,

Address,3317.809M,USA_AL,STREET.USA_AL,25.009M,170773,153B,

Address,3317.809M,USA_AL,DOOR.USA_AL,28.259M,171131,173B,

Address,3317.809M,MEX_CH,STREET.MEX_CH,8.131M,46958,181B,

Address,3317.809M,MEX_CH,DOOR.MEX_CH,7.223M,47018,161B,

Address,3317.809M,USA_CA,STREET.USA_CA,82.983M,561292,155B,

Address,3317.809M,USA_CA,DOOR.USA_CA,112.749M,563787,209B,

Address,3317.809M,USA_RI,STREET.USA_RI,2.903M,22444,135B,

Address,3317.809M,USA_RI,DOOR.USA_RI,3.444M,22506,160B,

Address,3317.809M,MEX_DU,STREET.MEX_DU,3.21M,20302,165B,

Address,3317.809M,MEX_DU,DOOR.MEX_DU,2.589M,20318,133B,

Address,3317.809M,NA_PRI,STREET.NA_PRI,6.526M,50070,136B,

Address,3317.809M,NA_PRI,DOOR.NA_PRI,7.078M,50254,147B,

Address,3317.809M,MEX_QR,STREET.MEX_QR,1.704M,12176,146B,

Address,3317.809M,MEX_QR,DOOR.MEX_QR,1.127M,12187,96B,

Address,3317.809M,CAN_YT,STREET.CAN_YT,0.456M,1537,310B,

Address,3317.809M,CAN_YT,DOOR.CAN_YT,0.219M,1537,149B,

Address,3317.809M,MEX_DF,STREET.MEX_DF,10.423M,54608,200B,

Address,3317.809M,MEX_DF,DOOR.MEX_DF,6.833M,54885,130B,

Address,3317.809M,MEX_PU,STREET.MEX_PU,8.342M,61369,142B,

Address,3317.809M,MEX_PU,DOOR.MEX_PU,5.866M,61485,100B,

Address,3317.809M,MEX_QE,STREET.MEX_QE,2.986M,21340,146B,

Address,3317.809M,MEX_QE,DOOR.MEX_QE,2.206M,21404,108B,

Address,3317.809M,USA_HI,STREET.USA_HI,3.921M,16927,242B,

Address,3317.809M,USA_HI,DOOR.USA_HI,5.984M,16979,369B,

Address,3317.809M,USA_ID,STREET.USA_ID,12.137M,64580,197B,

Address,3317.809M,USA_ID,DOOR.USA_ID,11.458M,64705,185B,

Address,3317.809M,USA_IA,STREET.USA_IA,18.223M,110737,172B,

Address,3317.809M,USA_IA,DOOR.USA_IA,20.212M,111103,190B,

Address,3317.809M,USA_IL,STREET.USA_IL,38.627M,270206,149B,

Address,3317.809M,USA_IL,DOOR.USA_IL,49.259M,270991,190B,

Address,3317.809M,USA_WA,STREET.USA_WA,26.44M,160761,172B,

Address,3317.809M,USA_WA,DOOR.USA_WA,32.121M,161285,208B,

Address,3317.809M,USA_WI,STREET.USA_WI,28.446M,188247,158B,

Address,3317.809M,USA_WI,DOOR.USA_WI,35.929M,188855,199B,

Address,3317.809M,USA_WV,STREET.USA_WV,13.845M,91425,158B,

Address,3317.809M,USA_WV,DOOR.USA_WV,11.882M,91592,136B,

Address,3317.809M,USA_WY,STREET.USA_WY,5.825M,28184,216B,

Address,3317.809M,USA_WY,DOOR.USA_WY,4.882M,28252,181B,

Address,3317.809M,MEX_OA,STREET.MEX_OA,6.25M,45213,144B,

Address,3317.809M,MEX_OA,DOOR.MEX_OA,3.732M,45233,86B,

Address,3317.809M,USA_FL,STREET.USA_FL,59.28M,434823,142B,

Address,3317.809M,USA_FL,DOOR.USA_FL,83.475M,436036,200B,

Address,3317.809M,MEX_MX,STREET.MEX_MX,16.436M,121606,141B,

Address,3317.809M,MEX_MX,DOOR.MEX_MX,11.447M,121915,98B,

Address,3317.809M,USA_VA,STREET.USA_VA,30.123M,209000,151B,

Address,3317.809M,USA_VA,DOOR.USA_VA,37.636M,209642,188B,

Address,3317.809M,MEX_MR,STREET.MEX_MR,4.147M,32527,133B,

Address,3317.809M,MEX_MR,DOOR.MEX_MR,3.009M,32587,96B,

Address,3317.809M,USA_GA,STREET.USA_GA,40.877M,279538,153B,

Address,3317.809M,USA_GA,DOOR.USA_GA,48.377M,280099,181B,

Address,3317.809M,MEX_NL,STREET.MEX_NL,8.726M,60036,152B,

Address,3317.809M,MEX_NL,DOOR.MEX_NL,7.994M,60192,139B,

Address,3317.809M,USA_VT,STREET.USA_VT,4.758M,30906,161B,

Address,3317.809M,USA_VT,DOOR.USA_VT,4.901M,30961,165B,

Address,3317.809M,MEX_NA,STREET.MEX_NA,1.954M,13756,148B,

Address,3317.809M,MEX_NA,DOOR.MEX_NA,1.798M,13777,136B,

Address,3317.809M,USA_KY,STREET.USA_KY,24.662M,159055,162B,

Address,3317.809M,USA_KY,DOOR.USA_KY,25.35M,159403,166B,

Address,3317.809M,CAN_SK,STREET.CAN_SK,5.517M,35476,163B,

Address,3317.809M,CAN_SK,DOOR.CAN_SK,3.558M,35562,104B,

Address,3317.809M,USA_KS,STREET.USA_KS,19.297M,103538,195B,

Address,3317.809M,USA_KS,DOOR.USA_KS,20.534M,103920,207B,

Address,3317.809M,MEX_MC,STREET.MEX_MC,8.001M,54012,155B,

Address,3317.809M,MEX_MC,DOOR.MEX_MC,6.034M,54076,116B,

Address,3317.809M,USA_LA,STREET.USA_LA,19.816M,132044,157B,

Address,3317.809M,USA_LA,DOOR.USA_LA,21.899M,132356,173B,

Address,3317.809M,CAN_BC,STREET.CAN_BC,19.223M,135897,148B,

Address,3317.809M,CAN_BC,DOOR.CAN_BC,16.226M,136134,124B,

Address,3317.809M,USA_MI,STREET.USA_MI,36.395M,229924,165B,

Address,3317.809M,USA_MI,DOOR.USA_MI,45.906M,230613,208B,

Address,3317.809M,USA_MP,STREET.USA_MP,0M,230613,208B,

Address,3317.809M,USA_MP,DOOR.USA_MP,0M,230613,208B,

Address,3317.809M,USA_MO,STREET.USA_MO,34.459M,226222,159B,

Address,3317.809M,USA_MO,DOOR.USA_MO,35.8M,227027,165B,

Address,3317.809M,USA_MN,STREET.USA_MN,28.773M,164153,183B,

Address,3317.809M,USA_MN,DOOR.USA_MN,32.59M,164635,207B,

Address,3317.809M,USA_MD,STREET.USA_MD,14.748M,107852,143B,

Address,3317.809M,USA_MD,DOOR.USA_MD,19.86M,108304,192B,

Address,3317.809M,CAN_AB,STREET.CAN_AB,21.074M,113623,194B,

Address,3317.809M,CAN_AB,DOOR.CAN_AB,18.55M,114039,170B,

Address,3317.809M,USA_MA,STREET.USA_MA,15.481M,130920,123B,

Address,3317.809M,USA_MA,DOOR.USA_MA,21.438M,131251,171B,

Address,3317.809M,USA_ME,STREET.USA_ME,9.617M,67003,150B,

Address,3317.809M,USA_ME,DOOR.USA_ME,8.837M,67077,138B,

Address,3317.809M,MEX_ZA,STREET.MEX_ZA,3.592M,25526,147B,

Address,3317.809M,MEX_ZA,DOOR.MEX_ZA,2.625M,25561,107B,

Address,3317.809M,CAN_QC,STREET.CAN_QC,33.57M,249169,141B,

Address,3317.809M,CAN_QC,DOOR.CAN_QC,34.78M,249684,146B,

Address,3317.809M,USA_IN,STREET.USA_IN,27.685M,181690,159B,

Address,3317.809M,USA_IN,DOOR.USA_IN,37.121M,182072,213B,

Address,3317.809M,NA_CRI,STREET.NA_CRI,0M,182072,213B,

Address,3317.809M,NA_CRI,DOOR.NA_CRI,0M,182072,213B,

Address,3317.809M,MEX_JA,STREET.MEX_JA,11.956M,78617,159B,

Address,3317.809M,MEX_JA,DOOR.MEX_JA,11.448M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

POI,3317.809M,,,0M,78724,152B,

